CELLINE,DRUG,ADDITIVE,ADDITIVE_CONC,REPEAT,REP,DRUG_CONC,DV,CELLINE_DRUG_ADDITIVE,CELLINE_DRUG_ADDITIVE_ADDITIVECONC,CELLINE_DRUG_ADDITIVE_ADDITIVECONC_REPEAT,CELLINE_NAME,DRUG_NAME,ADDITIVE_NAME,CELLINE_DRUG_ADDITIVE_NAME
1,1,1,3,4,1,0.185185185185185,0.165383963383624,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,1,0.555555555555556,0.136802847940329,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,1,1.66666666666667,0.128564163417528,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,2,0,1.54836412951348,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,2,0.000762078951379363,1.04153246312934,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,2,0.00228623685413809,0.93371757925072,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,2,0.00685871056241427,0.598576029835565,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,2,0.0205761316872428,0.378776063739617,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,2,0.0617283950617284,0.238006441769792,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,2,0.185185185185185,0.161010340735718,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,2,0.555555555555556,0.133853195456857,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
1,1,1,3,4,2,1.66666666666667,0.118799796575691,1,2,8,WT,Dactolisib,ATUX,WT_Dactolisib_ATUX
